X1	X2	Y1	Y2	Y2
-41,77	-13,17	1595,70	1058,20	1058,20
-42,50	-10,00	3439,80	707,40	5320,00
-42,68	-14,48	1541,10	840,60	840,60
-40,37	-10,73	1915,10	1204,90	7891,60
-39,90	-11,80	945,60	2771,60	2771,60
-39,37	-13,75	915,30	1907,60	1907,60
-41,73	-14,93	935,60	1126,60	1126,60
-40,55	-11,72	2426,50	1323,80	1323,80
-40,37	-13,25	851,80	1409,20	1409,20
-40,48	-14,67	2568,40	1509,20	1509,20
-40,37	-14,52	4598,80	1465,20	1465,20
-38,33	-12,42	3950,40	6389,80	6389,80
-40,13	-10,85	1383,20	1212,10	1302,00
-39,05	-16,43	15163,20	2402,40	2716,10
-39,87	-15,58	572,60	1622,10	1622,10
-39,23	-17,33	2731,70	1619,00	2731,70
-42,00	-11,28	1428,30	742,90	742,90
-41,67	-14,68	1113,10	1146,20	1146,20
-39,42	-13,43	2737,50	2610,90	2610,90
-39,62	-10,97	2453,10	3000,30	1915,10
-39,22	-10,75	2677,50	3260,10	16339,30
-40,13	-11,40	804,20	1302,00	1302,00
-39,50	-12,40	2174,60	2126,90	2126,90
-42,08	-9,62	4042,70	703,90	2237,70
-39,42	-11,48	1369,10	2794,20	2794,20
-44,90	-11,73	2143,30	276,60	276,60
-39,38	-11,80	3260,10	1763,80	1763,80
-42,93	-13,60	3486,00	809,00	809,00
-38,43	-11,03	1373,40	8692,30	8692,30
-38,53	-10,83	5320,00	5400,60	2716,10
-40,75	-15,45	399,90	1526,70	1526,70
-41,80	-13,57	1198,10	1105,80	1105,80
-42,08	-14,40	1462,40	849,80	849,80
-42,28	-13,13	1077,50	804,20	804,20
-37,92	-11,48	4031,20	34274,60	34274,60
-38,75	-8,85	865,10	5432,50	1292,50
-40,50	-12,28	3000,30	1351,80	1351,80
-38,75	-12,87	1515,00	3700,50	3700,50
-38,50	-12,97	289942,20	5432,50	5432,50
-38,98	-11,95	2007,40	4958,40	4958,40
-38,13	-9,73	1302,00	15212,60	1302,00
-39,02	-16,27	2716,10	2052,40	915,30
-39,80	-14,95	534,40	1776,90	1776,90
-39,83	-13,28	968,60	2203,60	2203,60
-39,35	-15,42	1141,10	2716,10	2716,10
-44,18	-13,38	3881,00	466,50	4686,50
-44,52	-11,00	2771,60	283,80	28315,80
-39,52	-12,75	962,30	1930,10	1930,10
-39,37	-11,25	3680,70	2615,00	2615,00
-44,05	-12,98	2589,50	441,50	441,50
-38,87	-12,03	809,00	4042,70	4042,70
-38,72	-12,53	5929,30	3680,70	3680,70
-39,25	-12,97	10230,70	2090,00	2090,00
-39,25	-12,42	5276,90	1694,30	1694,30
-44,98	-12,35	3386,70	317,50	317,50
-39,52	-11,45	818,80	2747,60	2747,60
-39,10	-12,83	2018,60	1896,30	1896,30
-38,98	-12,60	1388,70	3527,60	3527,60
-44,18	-13,40	1464,60	520,80	520,80
-38,67	-12,62	3976,70	3673,40	36713,40
-41,90	-11,22	1788,80	945,60	945,60
-38,98	-12,43	3741,80	4365,70	4365,70
-39,35	-15,10	466,50	2547,20	2547,20
-40,02	-11,50	964,90	1300,50	11300,50
-39,47	-13,03	1083,60	3046,50	3046,50
-38,50	-12,50	4365,70	7891,60	7891,60
-39,17	-12,72	1652,40	2737,50	2737,50
-38,62	-11,60	1643,30	5276,90	5276,90
-38,77	-12,73	1126,60	3486,00	3486,00
-40,42	-10,93	1207,40	1235,40	2309,40
-41,77	-12,42	4347,30	1038,70	1038,70
-42,93	-14,57	1068,90	865,30	865,30
-40,18	-10,45	7891,60	1223,10	4042,70
-41,88	-9,73	4038,20	915,30	30899,60
-43,60	-13,55	3046,50	656,70	65876,70
-43,93	-12,75	1636,40	595,50	59985,50
-39,33	-12,17	1363,40	1969,70	19569,70
-39,00	-11,65	8079,60	2154,30	2154,30
-40,30	-11,40	1259,30	1333,20	1333,20
-38,40	-12,78	13622,00	5432,50	5432,50
-43,47	-13,10	1220,70	639,90	639,90
-38,23	-10,35	853,40	9697,60	5000,60
-40,83	-9,45	2237,70	1222,50	11556,60
-41,63	-12,10	1622,10	1042,10	1042,10
-44,00	-12,70	1161,80	309,60	30029,60
-41,25	-14,03	1948,60	1146,00	1146,00
-42,50	-13,53	1662,10	783,70	78345,70
-39,12	-11,97	703,90	1826,50	18126,50
-39,10	-13,53	2052,40	2264,30	2264,30
-40,78	-11,83	1604,20	1325,80	1325,80
-39,75	-17,55	16339,30	1604,20	2309,40
-38,62	-12,28	639,90	4328,80	4328,80
-39,00	-11,48	2169,30	1662,10	16562,10
