24012 SERIDO ORIENTAL,482
24013 BAIXA VERDE,397
24014 BORBOREMA POTIGUAR,702
24015 AGRESTE POTIGUAR,562
24016 LITORAL NORDESTE,335
24017 MACAIBA,1083
24018 NATAL,7510
24019 LITORAL SUL,390
11001 PORTO VELHO,1049
11002 GUAJARA-MIRIM,145
11003 ARIQUEMES,423
11004 JI-PARANA,444
11005 ALVORADA D'OESTE,213
11006 CACOAL,1739
11007 VILHENA,648
11008 COLORADO DO OESTE,170
14001 BOA VISTA,208
14002 NORDESTE DE RORAIMA,49
14003 CARACARAI,10
14004 SUDESTE DE RORAIMA,24
43001 SANTA ROSA,23795
43002 TRES PASSOS,21951
43003 FREDERICO WESTPHALEN,12669
43004 ERECHIM,2176
43005 SANANDUVA,569
43006 CERRO LARGO,5442
43007 SANTO ANGELO,7078
43008 IJUI,8461
43009 CARAZINHO,4825
43010 PASSO FUNDO,3155
43011 CRUZ ALTA,3025
43012 NAO-ME-TOQUE,598
43013 SOLEDADE,86
43014 GUAPORE,589
43015 VACARIA,71
43016 CAXIAS DO SUL,822
43017 SANTIAGO,196
43018 SANTA MARIA,2009
43019 RESTINGA SECA,349
43020 SANTA CRUZ DO SUL,7393
43021 LAJEADO-ESTRELA,2724
43022 CACHOEIRA DO SUL,1042
43023 MONTENEGRO,3460
43024 GRAMADO-CANELA,4630
43025 SAO JERONIMO,302
43026 PORTO ALEGRE,63253
43027 OSORIO,2643
43028 CAMAQUA,51
43029 CAMPANHA OCIDENTAL,2526
43030 CAMPANHA CENTRAL,378
43031 CAMPANHA MERIDIONAL,79
43032 SERRAS DE SUDESTE,106
43033 PELOTAS,678
43034 JAGUARAO,18
43035 LITORAL LAGUNAR,188
42001 SAO MIGUEL DO OESTE,7264
42002 CHAPECO,17960
42003 XANXERE,5528
42004 JOACABA,1309
42005 CONCORDIA,2883
42006 CANOINHAS,506
42007 SAO BENTO DO SUL,265
42008 JOINVILLE,118673
42009 CURITIBANOS,209
42010 CAMPOS DE LAGES,156
42011 RIO DO SUL,640
42012 BLUMENAU,75526
42013 ITAJAI,76856
42014 ITUPORANGA,80
42015 TIJUCAS,3663
42016 FLORIANOPOLIS,19227
42017 TABULEIRO,32
42018 TUBARAO,1234
42019 CRICIUMA,258
42020 ARARANGUA,234
28001 SERGIPANA DO SERTAO DO SAO FRANCISCO,233
28002 CARIRA,46
28003 NOSSA SENHORA DAS DORES,17
28004 AGRESTE DE ITABAIANA,50
28005 TOBIAS BARRETO,116
28006 AGRESTE DE LAGARTO,94
28007 PROPRIA,264
28008 COTINGUIBA,13
28009 JAPARATUBA,34
28010 BAIXO COTINGUIBA,25
28011 ARACAJU,1509
28012 BOQUIM,86
28013 ESTANCIA,194
35001 JALES,1701
35002 FERNANDOPOLIS,1616
35003 VOTUPORANGA,11771
35004 SAO JOSE DO RIO PRETO,27774
35005 CATANDUVA,12183
35006 AURIFLAMA,182
35007 NHANDEARA,202
35008 NOVO HORIZONTE,3453
35009 BARRETOS,4113
35010 SAO JOAQUIM DA BARRA,2786
35011 ITUVERAVA,374
35012 FRANCA,8229
35013 JABOTICABAL,14260
35014 RIBEIRAO PRETO,53046
35015 BATATAIS,3678
35016 ANDRADINA,922
35017 ARACATUBA,2634
35018 BIRIGUI,3088
35019 LINS,1247
35020 BAURU,18462
35021 JAU,25892
35022 AVARE,6609
35023 BOTUCATU,21614
35024 ARARAQUARA,7150
35025 SAO CARLOS,18251
35026 RIO CLARO,7495
35027 LIMEIRA,12345
35028 PIRACICABA,28436
35029 PIRASSUNUNGA,9473
35030 SAO JOAO DA BOA VISTA,26315
35031 MOJI MIRIM,16235
35032 CAMPINAS,168368
35033 AMPARO,8973
35034 DRACENA,378
35035 ADAMANTINA,802
35036 PRESIDENTE PRUDENTE,2978
35037 TUPA,1409
35038 MARILIA,19149
35039 ASSIS,15010
35040 OURINHOS,13798
35041 ITAPEVA,8917
35042 ITAPETININGA,5917
35043 TATUI,7860
35044 CAPAO BONITO,1567
35045 PIEDADE,2087
35046 SOROCABA,72508
35047 JUNDIAI,17056
35048 BRAGANCA PAULISTA,28687
35049 CAMPOS DO JORDAO,935
35050 SAO JOSE DOS CAMPOS,175349
35051 GUARATINGUETA,14695
35052 BANANAL,1314
35053 PARAIBUNA/PARAITINGA,1965
